instance_id,repetition,algorithm,runtime,runstatus
BF10_cpmp_16_8_77_16_58_13,1.0,astar-symmullt-transmul,3600.0,memout
BF10_cpmp_16_8_77_16_58_3,1.0,astar-symmullt-transmul,3600.0,memout
BF10_cpmp_16_8_77_16_58_8,1.0,astar-symmullt-transmul,3600.0,memout
BF11_cpmp_16_8_77_31_47_10,1.0,astar-symmullt-transmul,92.986,ok
BF11_cpmp_16_8_77_31_47_11,1.0,astar-symmullt-transmul,3600.0,memout
BF11_cpmp_16_8_77_31_47_16,1.0,astar-symmullt-transmul,3600.0,memout
BF11_cpmp_16_8_77_31_47_6,1.0,astar-symmullt-transmul,3600.0,memout
BF11_cpmp_16_8_77_31_47_7,1.0,astar-symmullt-transmul,3600.0,memout
BF12_cpmp_16_8_77_31_58_14,1.0,astar-symmullt-transmul,3600.0,memout
BF17_cpmp_20_5_60_12_36_1,1.0,astar-symmullt-transmul,0.332,ok
BF17_cpmp_20_5_60_12_36_10,1.0,astar-symmullt-transmul,3600.0,memout
BF17_cpmp_20_5_60_12_36_11,1.0,astar-symmullt-transmul,3600.0,memout
BF17_cpmp_20_5_60_12_36_12,1.0,astar-symmullt-transmul,0.024,ok
BF17_cpmp_20_5_60_12_36_15,1.0,astar-symmullt-transmul,0.616,ok
BF17_cpmp_20_5_60_12_36_16,1.0,astar-symmullt-transmul,106.643,ok
BF17_cpmp_20_5_60_12_36_17,1.0,astar-symmullt-transmul,22.953,ok
BF17_cpmp_20_5_60_12_36_2,1.0,astar-symmullt-transmul,0.08,ok
BF17_cpmp_20_5_60_12_36_20,1.0,astar-symmullt-transmul,0.1,ok
BF17_cpmp_20_5_60_12_36_3,1.0,astar-symmullt-transmul,0.092,ok
BF17_cpmp_20_5_60_12_36_4,1.0,astar-symmullt-transmul,0.032,ok
BF17_cpmp_20_5_60_12_36_5,1.0,astar-symmullt-transmul,2.64,ok
BF17_cpmp_20_5_60_12_36_6,1.0,astar-symmullt-transmul,3600.0,memout
BF17_cpmp_20_5_60_12_36_7,1.0,astar-symmullt-transmul,3600.0,memout
BF17_cpmp_20_5_60_12_36_8,1.0,astar-symmullt-transmul,0.04,ok
BF18_cpmp_20_5_60_12_45_1,1.0,astar-symmullt-transmul,3600.0,memout
BF18_cpmp_20_5_60_12_45_12,1.0,astar-symmullt-transmul,0.132,ok
BF18_cpmp_20_5_60_12_45_13,1.0,astar-symmullt-transmul,3600.0,memout
BF18_cpmp_20_5_60_12_45_14,1.0,astar-symmullt-transmul,162.306,ok
BF18_cpmp_20_5_60_12_45_15,1.0,astar-symmullt-transmul,87.281,ok
BF18_cpmp_20_5_60_12_45_16,1.0,astar-symmullt-transmul,0.032,ok
BF18_cpmp_20_5_60_12_45_17,1.0,astar-symmullt-transmul,0.056,ok
BF18_cpmp_20_5_60_12_45_18,1.0,astar-symmullt-transmul,3600.0,memout
BF18_cpmp_20_5_60_12_45_19,1.0,astar-symmullt-transmul,3600.0,memout
BF18_cpmp_20_5_60_12_45_2,1.0,astar-symmullt-transmul,20.105,ok
BF18_cpmp_20_5_60_12_45_3,1.0,astar-symmullt-transmul,3600.0,memout
BF18_cpmp_20_5_60_12_45_4,1.0,astar-symmullt-transmul,3600.0,memout
BF18_cpmp_20_5_60_12_45_5,1.0,astar-symmullt-transmul,0.032,ok
BF18_cpmp_20_5_60_12_45_6,1.0,astar-symmullt-transmul,3600.0,memout
BF18_cpmp_20_5_60_12_45_7,1.0,astar-symmullt-transmul,3600.0,memout
BF18_cpmp_20_5_60_12_45_8,1.0,astar-symmullt-transmul,167.146,ok
BF18_cpmp_20_5_60_12_45_9,1.0,astar-symmullt-transmul,0.028,ok
BF19_cpmp_20_5_60_24_36_1,1.0,astar-symmullt-transmul,3600.0,memout
BF19_cpmp_20_5_60_24_36_10,1.0,astar-symmullt-transmul,321.764,ok
BF19_cpmp_20_5_60_24_36_11,1.0,astar-symmullt-transmul,1.392,ok
BF19_cpmp_20_5_60_24_36_14,1.0,astar-symmullt-transmul,3600.0,memout
BF19_cpmp_20_5_60_24_36_15,1.0,astar-symmullt-transmul,247.087,ok
BF19_cpmp_20_5_60_24_36_16,1.0,astar-symmullt-transmul,0.18,ok
BF19_cpmp_20_5_60_24_36_17,1.0,astar-symmullt-transmul,3600.0,memout
BF19_cpmp_20_5_60_24_36_18,1.0,astar-symmullt-transmul,14.485,ok
BF19_cpmp_20_5_60_24_36_2,1.0,astar-symmullt-transmul,3600.0,memout
BF19_cpmp_20_5_60_24_36_20,1.0,astar-symmullt-transmul,3600.0,memout
