instance_id,repetition,algorithm,runtime,runstatus
4-fullins-5-8.xml.watchless.minion.gz,1.0,learning,5000.0,timeout
4-insertions-3-3.xml.watchless.minion.gz,1.0,learning,5000.0,timeout
4-insertions-3-4.xml.watchless.minion.gz,1.0,learning,0.192969,ok
4-insertions-4-3.xml.watchless.minion.gz,1.0,learning,5000.0,timeout
4-insertions-4-4.xml.watchless.minion.gz,1.0,learning,5000.0,timeout
4-insertions-4-5.xml.watchless.minion.gz,1.0,learning,0.221966,ok
5-fullins-3-6.xml.watchless.minion.gz,1.0,learning,0.085986,ok
5-fullins-3-7.xml.watchless.minion.gz,1.0,learning,50.344396,ok
5-fullins-3-8.xml.watchless.minion.gz,1.0,learning,0.19397,ok
5-fullins-4-6.xml.watchless.minion.gz,1.0,learning,0.26396,ok
