instance_id,repetition,algorithm,runtime,runstatus
4-fullins-5-8.xml.watchless.minion.gz,1.0,standard,5000.0,timeout
4-insertions-3-3.xml.watchless.minion.gz,1.0,standard,841.590058,ok
4-insertions-3-4.xml.watchless.minion.gz,1.0,standard,0.165974,ok
4-insertions-4-3.xml.watchless.minion.gz,1.0,standard,5000.0,timeout
4-insertions-4-4.xml.watchless.minion.gz,1.0,standard,5000.0,timeout
4-insertions-4-5.xml.watchless.minion.gz,1.0,standard,0.20697,ok
5-fullins-3-6.xml.watchless.minion.gz,1.0,standard,0.041992,ok
5-fullins-3-7.xml.watchless.minion.gz,1.0,standard,0.885865,ok
5-fullins-3-8.xml.watchless.minion.gz,1.0,standard,0.172974,ok
5-fullins-4-6.xml.watchless.minion.gz,1.0,standard,0.204968,ok
